Industry,ERA species ID,CAAB code,Scientific_name,Common_name,IUCN system,Number,EPBC status,Seabird,Migratory listed,Marine listed,Cetacean listed,Bioregional_conservation_status,Type,Report_Table_Num,F Overall Risk,F Overall Risk table reference,Tentative final risk score,Tentative final risk score table reference,Risk Score,Potential_Impact,Potential_Impact_Significance,Consequence Score (1-6),Notes,EIA assessment,"Bookmark name in Tess' ""BASS STRAIT"" folder",,
TPG: Tasmanian Gas Pipeline Offshore,,,Hirundapus caudacutus,White-throated Needletail,Terrestrial,,Vulnerable,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Monarcha melanopsis,Black-faced Monarch,Terrestrial,,Listed,Not seabird,Listed as Muscicapidae,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Motacilla flava,Yellow Wagtail,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Myiagra cyanoleuca,Satin Flycatcher,Terrestrial,,Listed,Not seabird,Listed as Muscicapidae,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Rhipidura rufifrons,Rufous Fantail,Terrestrial,,Listed,Not seabird,Listed as Muscicapidae,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Actitis hypoleucos,Common Sandpiper,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Arenaria interpres,Ruddy Turnstone,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris acuminata,Sharp-tailed Sandpiper,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris alba,Sanderling,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris canutus,"Red Knot, Knot",Terrestrial/Freshwater/Marine,,Endangered,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris ferruginea,Curlew Sandpiper,Terrestrial/Freshwater/Marine,,Critically Endangered,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris melanotos,Pectoral Sandpiper,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris ruficollis,Red-necked Stint,Terrestrial/Marine,,Listed,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris tenuirostris,Great Knot,Terrestrial/Marine,,Critically Endangered,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Charadrius bicinctus,Double-banded Plover,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed as Charadriidae,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Terrestrial/Freshwater/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Terrestrial/Freshwater/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Gallinago hardwickii,"Latham's Snipe, Japanese Snipe",Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Gallinago megala,Swinhoe's Snipe,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Gallinago stenura,Pin-tailed Snipe,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Limnodromus semipalmatus,Asian Dowitcher,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Limosa lapponica,Bar-tailed Godwit,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Limosa limosa,Black-tailed Godwit,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Terrestrial/Freshwater/Marine,,Critically Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Numenius minutus,"Little Curlew, Little Whimbrel",Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Numenius phaeopus,Whimbrel,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Pandion haliaetus,Osprey,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Philomachus pugnax,Ruff (Reeve),Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Pluvialis fulva,Pacific Golden Plover,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Pluvialis squatarola,Grey Plover,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Thalasseus bergii,Greater Crested Tern,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Tringa brevipes,Grey-tailed Tattler,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Tringa glareola,Wood Sandpiper,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Tringa nebularia,"Common Greenshank, Greenshank",Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Tringa stagnatilis,"Marsh Sandpiper, Little Greenshank",Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Xenus cinereus,Terek Sandpiper,"Terrestrial, Freshwater, Marine",,Listed,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Actitis hypoleucos,Common Sandpiper,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Apus pacificus,Fork-tailed Swift,Terrestrial,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Ardea alba,"Great Egret, White Egret",Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Bubulcus ibis,Cattle Egret,Terrestrial,,Listed,Not seabird,Not Listed for Migratory,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Arenaria interpres,Ruddy Turnstone,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris acuminata,Sharp-tailed Sandpiper,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris alba,Sanderling,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris canutus,"Red Knot, Knot",Terrestrial/Freshwater/Marine,,Endangered,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris ferruginea,Curlew Sandpiper,Terrestrial/Freshwater/Marine,,Critically Endangered,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris melanotos,Pectoral Sandpiper,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris ruficollis,Red-necked Stint,Terrestrial/Marine,,Listed,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Calidris tenuirostris,Great Knot,Terrestrial/Marine,,Critically Endangered,Seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Stercorarius antarcticus,Great Skua,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Charadrius bicinctus,Double-banded Plover,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed as Charadriidae,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Terrestrial/Freshwater/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Terrestrial/Freshwater/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Charadrius ruficapillus,Red-capped Plover,Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Diomedea antipodensis,Antipodean Albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Diomedea epomophora,Southern Royal Albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Diomedea exulans,Wandering Albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Diomedea antipodensis gibsoni,Gibson's Albatross,Terrestrial/Marine,,Vulnerable,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Diomedea sanfordi,Northern Royal Albatross,Terrestrial/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Eudyptula minor,Little Penguin,Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Gallinago hardwickii,"Latham's Snipe, Japanese Snipe",Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Gallinago megala,Swinhoe's Snipe,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Gallinago stenura,Pin-tailed Snipe,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Haliaeetus leucogaster,White-bellied Sea-Eagle,Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Halobaena caerulea,Blue Petrel,Terrestrial/Marine,,Vulnerable,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Tringa brevipes,Grey-tailed Tattler,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Himantopus himantopus,"Pied Stilt, Black-winged Stilt",Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Hirundapus caudacutus,White-throated Needletail,Terrestrial,,Vulnerable,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Larus dominicanus,Kelp Gull,Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Chroicocephalus novaehollandiae,Silver Gull,Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Larus pacificus,Pacific Gull,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Lathamus discolor,Swift Parrot,Terrestrial,,Critically Endangered,Not seabird,Not Listed for Migratory,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Limnodromus semipalmatus,Asian Dowitcher,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Limosa lapponica,Bar-tailed Godwit,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Limosa limosa,Black-tailed Godwit,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Macronectes giganteus,"Southern Giant-Petrel, Southern Giant Petrel",Terrestrial/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Macronectes halli,Northern Giant Petrel,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Merops ornatus,Rainbow Bee-eater,Terrestrial,,Listed,Not seabird,Not Listed for Migratory,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Monarcha melanopsis,Black-faced Monarch,Terrestrial,,Listed,Not seabird,Listed as Muscicapidae,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Motacilla flava,Yellow Wagtail,Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Myiagra cyanoleuca,Satin Flycatcher,Terrestrial,,Listed,Not seabird,Listed as Muscicapidae,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Neophema chrysogaster,Orange-bellied Parrot,Terrestrial/Freshwater,,Critically Endangered,Not seabird,Not Listed for Migratory,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Terrestrial/Freshwater/Marine,,Critically Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Numenius minutus,"Little Curlew, Little Whimbrel",Terrestrial/Freshwater,,Listed,Not seabird,Listed,Listed - overfly marine area,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Numenius phaeopus,Whimbrel,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Pachyptila turtur,Fairy Prion,Terrestrial/Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Pandion haliaetus,Osprey,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Pelagodroma marina,White-faced Storm-Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Pelecanoides urinatrix,Common Diving-Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
TPG: Tasmanian Gas Pipeline Offshore,,,Phalacrocorax fuscescens,Black-faced Cormorant,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Appendix E- EPBC Act Protected Matters Search Report ,,,,,,,,,,,https://docs.nopsema.gov.au/A698119,,,
